Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",39842.56099523302,3153918.10319564,6220237.836541334,3114075.5422004065,59.75,"[12484271.4819, 50284.159, 43794.1025, 37322.6694]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",46308.48461672737,3177766.603317013,6253476.20769243,3131458.1187002854,67.25,"[12557980.0808, 49929.2683, 54664.7624, 48492.3018]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",46832.16178030554,3451842.2371075233,6803301.453787291,3405010.0753272176,67.25,"[13656793.6854, 51050.4134, 52830.4223, 46694.4273]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",34574.46474875904,3836637.62223057,7597379.314227907,3802063.157481811,77.25,"[15232705.597, 42429.1603, 35997.9989, 35417.7327]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",34945.44814917782,3871915.4489202374,7667025.008857371,3836970.0007710597,77.25,"[15372452.0464, 42652.0335, 36988.9044, 35568.8113]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",51853.617726415476,4519265.313226488,8902169.229888508,4467411.695500073,121.75,"[17872513.5061, 78263.3732, 68083.0243, 58201.3493]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",36845.21752281973,4799818.080695595,9505943.244378457,4762972.863172775,44.5,"[19058731.9344, 49371.5272, 49389.1402, 41779.721]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",40814.67449218499,5048578.356969902,9970264.049836228,5007763.682477717,136.0,"[20003962.059, 57265.063, 81308.809, 51777.4969]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",49843.97439304966,5353253.661576071,10600174.4896913,5303409.687183022,81.5,"[21253509.7854, 60637.5475, 40652.6762, 58214.6371]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",41757.927269689506,7836450.186404742,15575656.595043771,7794692.259135053,65.0,"[31199931.2866, 45770.4013, 60634.1647, 39464.8931]"
