Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",62732.63688698968,88013.81099392599,7033.823319975486,25281.174106936305,86.5,"[83620.6511, 84529.6134, 98508.3323, 85396.6471]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",54858.944047866724,87036.56056976196,24733.22531434845,32177.616521895237,94.5,"[74803.0355, 71590.0894, 123940.097, 77813.0203]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",62339.44691474778,86460.95555724653,9934.653856058723,24121.508642498753,88.25,"[80087.2529, 80036.5324, 84726.7925, 100993.2445]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",74674.384069763,92447.28574395672,9371.597255491046,17772.901674193723,106.75,"[98619.6921, 85441.332, 102243.5881, 83484.5307]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",72858.72206874403,94746.74107561921,17304.99391966683,21888.019006875184,121.25,"[84321.4376, 89586.7743, 120450.6284, 84628.124]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",74585.550360212,94501.91692481775,14999.10927099856,19916.36656460575,66.25,"[90786.657, 94592.1576, 114405.0064, 78223.8468]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",81766.81167311537,96114.182905672,17053.992511072807,14347.37123255663,62.5,"[90163.5259, 92804.5175, 120534.1773, 80954.511]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",52086.066123514676,85401.3346233406,9125.465212895737,33315.26849982593,103.75,"[74691.5943, 82559.9476, 87979.6489, 96374.1476]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",88740.87032429007,367015.3157283871,494699.0987582086,278274.44540409703,86.75,"[69528.0702, 204163.6141, 90624.6823, 1103744.8962]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",57464.233194317654,86603.31838042717,2432.911417748399,29139.085186109514,94.0,"[83383.4151, 87362.3364, 89209.4991, 86458.0229]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",50940.43409830055,97276.886778936,13827.166791264439,46336.45268063544,101.75,"[96392.6149, 79130.0731, 101207.1035, 112377.7556]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",95771.14399409418,145373.1753756568,72340.13390859016,49602.03138156263,112.5,"[73710.6579, 204162.1279, 92544.6087, 211075.3071]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",67965.2702701715,254230.89822962834,323915.1558427275,186265.62795945682,102.75,"[84182.7296, 99196.2396, 93529.727, 740014.8966]"
